Article Title,Article Content,Date,Location,Author
Rhino found dead in Parsa National Park,"A rhinoceros was found dead in Parsa National Park on Saturday.The park officials located the carcass of the rhinoceros some eight km west of Pratappur post in the national park.According to Surya Khadka, information and assistant conservation officer, it is believed that the poachers killed the rhinoceros as the patrolling team deployed from the national park office did not recover its horn.Officials say the rhino looks like an adult and is estimated to be killed some three months ago.One-horned rhinoceros is an endangered species and is sought after by poachers for its horns.Despite a significant decrease in poaching incidents in recent years, the number of rhinos dying due to natural causes, in-fighting, and other accidents has increased.As per the 2021 census, Nepal is home to 752 one-horned rhinos. The country’s rhino population stood at 645 in its four protected areas in 2015.","Published at : June 25, 2023",Parsa,Shankar Acharya
Kin demand justice as woman’s death raises suspicion,"Aarati Sah, a 22-year-old woman from Dhanusha, died under suspicious circumstances on May 21. Her family has accused her husband’s family of beating Aarati to death for not bringing enough dowry.Motibabu Sah of Thapa Chowk in Janakpur Sub-Metropolitan City-9 and Aarati of Nagarain Municipality-8 were married around two years ago. Theirs was an arranged marriage and Binod Sah, Aarati’s father, alleges his son-in-law and his family killed Aarati for not bringing enough dowry. Motibabu’s family said Aarati was rescued and rushed to the hospital immediately after she was found hanging at home. She was pronounced dead at Kavya Hospital.On Tuesday, Aarati’s relatives and well-wishers resorted to vandalism in Janakpur. The protesters hurled stones at the Dhanusha district court while the custodial hearing of the victim’s husband and father-in-law was underway at the court.Motibabu and his father Madan Sah were taken into police custody a few days ago for investigation into the case.According to Deputy Superintendent of Police Bed Prasad Gautam, scores of Aarati’s supporters attempted to barge into the court demanding the ‘death penalty’ for the suspects. “The security personnel were compelled to use force after the enraged protesters hurled stones and attempted to enter the court compound,” said Gautam. A protester was taken into custody.Police resorted to baton charges in which four demonstrators sustained injuries. A female police officer was also injured in the violent clash.The supporters of deceased Sah have been staging demonstrations in Janakpur as well as in Kathmandu demanding justice for the victim and strong action against the guilty. They accuse the police of not investigating the case sincerely with the intention to free the suspects. Aarati’s father, Binod Sah, his mother, brother, sister, maternal uncle and some other relatives came to Kathmandu on June 16 to pressure the authority for a fair investigation into the case. They have been staging a sit-in protest at Maitighar, Kathmandu, demanding action against the guilty.According to Binod, he had provided Rs2.5 million cash to Motilal’s family two years ago at the time of her wedding as dowry. “The husband, father-in-law, mother-in-law and brother-in-law had been torturing my daughter for not bringing more dowry. It was not suicide. They murdered her,” he said, demanding a fair investigation into the case. Meanwhile, the single bench of judge Ram Prasad Neupane remanded Motibabu and Madan into judicial custody following the court hearing on Tuesday.A team from the Central Investigation Bureau (CIB) of Nepal Police started an investigation into the case. The team is now in Janakpur. According to the District Police Office in Dhanusha, the CIB team has not disclosed any information since the case is still under investigation. A medical team in Janakpur Provincial Hospital carried out a postmortem of the deceased on May 22. The postmortem report says that the victim died by hanging and it could be a suicide. The report mentions that the victim sustained deep injuries on her cheek.","Published at : June 21, 2023",Dhanusha,Santosh Singh
Two electrocuted in Rautahat,"Two men were electrocuted in ward 5 of Baudhimai Municipality of Rautahat district on Friday night.30-year-old Arun Kumar Sah and 28-year-old Pandit Kumhal of Kopawatole were electrocuted while filling water using a water pump at Arun’s house, according to Kopawa Area Police Office.Sub Inspector of Police Paramananda Yadav said they were rushed to a nearby health facility and taken to Gaur for further treatment.Both of them died while undergoing treatment at the Gaur-based provincial hospital, he said.A police team led by Sub Inspector Yadav had rescued the duo.Police said they are further investigating the case.","Published at : June 17, 2023",Rautahat,Shiva Puri
Man dies in road accident,,,,
Madhesh Chief Minister Yadav to undergo floor test today,"Madhesh Chief Minister Saroj Kumar Yadav will undergo a floor test at a provincial assembly meeting on Tuesday evening.The chief minister will table a motion seeking the confidence of the provincial assembly after the CPN-UML pulled out of the government.Chief Minister Yadav was hesitating to take the vote of confidence saying that the government has the support of two-thirds of the provincial assembly members despite the UML’s exit.Chief Minister Yadav agreed to undergo the floor test in a meeting scheduled for 5pm today after legal practitioners advised him to take the vote of confidence to avoid possible legal hurdles as per the constitutional provision.“The chief minister is taking a vote of confidence again as the UML has left the government and has withdrawn its support,” Manish Suman, spokesperson for the Janata Samajbadi Party told the Post. “We believe that all parties will extend their support to the government.”The CPN (Maoist Centre), which recalled its ministers from the government expressing dissatisfaction with Chief Minister Yadav, said it will vote in favour of the confidence motion.“We have recalled ministers from the government but the party still supports the government. We will vote for the chief minister,” said CPN (Maoist Centre) provincial assembly member Yuvaraj Bhattarai. Although the Janata Samajbadi Party has claimed that the opposition party UML will also give a vote of confidence, the party is yet to decide.","Published at : June 13, 2023",Janakpur,Ajit Tiwari
"98 bullets, 4 shells found dumped in a sewer in Birgunj","A cache of bullets was recovered from a sewer in Birgunj Metropolitan City-10 on Sunday.The bullets kept in a plastic bag were found while the metropolis was cleaning the sewer by using an excavator. According to Deputy Superintendent of Police Nirmal Budhathoki, who is also the spokesperson at the District Police Office, Parsa, a total of 98 bullets and four bullet shells used in various firearms were recovered as the plastic bag was opened in the presence of the people’s representatives. A detailed investigation is going on, said Budhathoki.","Published at : June 11, 2023",Birgunj,Bhushan Yadav
"Police, locals clash over smuggled fertilisers",A clash ensued between locals and police personnel in Dhankaul Rural Municipality of Sarlahi district on Thursday after the latter tried to confiscate smuggled fertilisers.Police lobbed three shells of teargas canisters to take the situation under control. The clash ensued after security personnel tried to seize the fertilisers stored in the house of Raju Sahani at Dhankaul-7.Superintendent of Police Naresh Raj Subedi said police lobbed teargas shells after villagers started pelting stones at them.Police seized 72 sacks of fertilisers while some villagers ran away with a few sacks.Police Inspector Sumit Kushwaha and a senior constable have sustained minor injuries.Police said Sahani is on the run and they have launched a manhunt to nab him.,"Published at : June 8, 2023",Sarlahi,Om Prakash Thakur
Armed robbers loot bank in Mahottari,,,,
Birgunj locals march to Kathmandu to highlight Sirsiya River pollution,"Sirsiya River that flows through Birgunj, a major business and industrial hub in Parsa district of Madhesh Province, has become highly polluted due to the toxic industrial waste generated by several factories on the Parsa-Bara Industrial Corridor. The factories release untreated waste into the river, locals say, resulting in the river turning into an open sewer.In an apparent bid to exert pressure on authorities concerned and to bring to light the worsening water pollution in Sirsiya River, 10 days ago, a group of Birgunj residents set off on a march to Kathmandu carrying the polluted water from the river. The march that started on May 18 finally reached the Capital on Saturday evening through Hetauda, Narayanghat and Muglin.“The initiatives of the local government were not enough to control pollution in Sirsiya. So we decided to launch the long march to Kathmandu to put pressure on the federal government to look into the matter,” said Saroj Raya, patron of Chure Forest Conservation Campaign. According to him, a group of 25 people are participating in the march. “We walked around 25 kilometres a day. We plan to hand over the polluted water to the government in Singha Durbar.”The locals of Het settlement in Jitpur Simara sub-metropolitan city-23 of Bara district where the river originates and flows towards the middle Ganga plains in India say the water in the Bara section of the river is clean enough for household use.“However, by the time the river reaches Parwanipur in Birgunj-21 just one and a half kilometres downstream, the river turns toxic as a result of the waste released into the river by factories and industries,” said Ajija Miya of Parwanipur. “The river no longer supports aquatic life. The water is unfit for consumption even by the cattle. It’s hard to believe that until a few years ago, people used to bathe and wash in the river in the Parwanipur area.”The factories along the Parsa-Bara industrial corridor frequently release untreated waste into the river, giving its water a perpetually murky hue. Earlier, water from the same river was used for drinking and washing by households in more than a dozen VDCs in Parsa and Bara districts. “Today, the river is so polluted that its water has become unsupportive of any form of life,” said Miya.Various textile, pharmaceutical, leather and meat factories, among others, line the corridor. “The river emits a foul smell. It is becoming increasingly difficult to go anywhere near it,” said Sabdar Hussein of Parwanipur. According to him, most of the factories along the corridor have water treatment plants, but they don’t treat the wastewater before emptying it into the river.The Sirsiya river, which originates from Ramban forest in Jitpur Simara-3 of Bara, has cultural significance as well. It is an important water body for devotees during Chhath, a major Hindu festival in the central Tarai. The devotees are hit hardest by the pollution.Chhath organisers have for the past several years been urging the district administration to take initiatives to control river pollution, at least during Chhath, which is celebrated for five days. On the instructions of the district administration office, the factories are closed during Chhath and the pollution in the Sirsiya river automatically comes down for a few days, say locals. The group of visiting activists arrived in Kathmandu on Saturday evening.  Deepak KC/TKPSome factories along the corridor were set up some eight decades ago. Over time, their numbers have multiplied. Since the 1970s, the pollution level in the river has increased significantly.The local people of Simara, Tajapur, Parwanipur, Lohasanda, Ramauli, Jagarnathpur, Rampur Tokani, Sagardina, Chhatapipara, Nitanpur, Gamhargaon, Ramgadhawa, Ranighat, Sirsiya Khalwatol, and Birgunj metropolis sections along the Parsa-Bara industrial area are hugely affected by the river pollution. The deterioration of the river makes life difficult also for the residents of the East Champaran district of Bihar, India.A study conducted by the then Ministry of Population and Environment seven years ago shows that as many as 250 factories discharged polluted waters and chemicals directly into the Sirsiya. Earlier, the district administration office in Parsa had formed a committee to study the pollution in the river. The committee’s report had pointed to industrial discharge as the main cause of river pollution.Birgunj Metropolitan City formed the Sirsiya River Pollution Control Committee chaired by deputy mayor Imtiyaz Alam a few months ago. The committee monitors the factories and businesses in the area. According to Laxmi Prasad Paudel, chief administrative officer, the committee in March decided to fine five firms Rs300,000 each for polluting the river in the month. But the firms have yet to pay the fine.“We are coordinating with the Birgunj Chamber of Commerce and Industry to control pollution in Sirsiya. The process to scrap the licence of the factories that have not paid the fine is underway,” said Mayor Rajeshman Singh.At the initiative of the Birgunj chamber, a gathering of industrialists on the Parsa-Bara corridor was held in Birgunj in January. Sirsiya River pollution was the main agenda of the gathering. The industrialists had agreed to set up water treatment plants at their factories within a week and promised to release only treated water into the river. But they never kept their promise.","Published at : May 29, 2023",Birgunj,Bhusan Yadav
"Two dead, one injured in road accident","Two people including a teenager died and another was injured when a speeding motorcycle hit an electric pole at Narsingh Than, Chhinnamasta Rural Municipality in Saptari district on Friday afternoon.According to police, all three were on the motorcycle at the time of the accident. The injured were taken to Chhinnamasta Hospital in Rajbiraj for treatment, where two of them died while undergoing treatment. The condition of the injured is stable, said police.","Published at : May 26, 2023",Saptari,Post Report
Four including Indian national arrested on charge of betting,"Police have arrested four people including an Indian national on the charge of betting.A police team from Parsa District Police arrested them from the house of one Sanjay Srivastava in Birgunj Metropolis-15 on Wednesday.The arrested are Saroj Sah, 31, of Bara; Santosh Kumar Yadav, 35, of Sarlahi; Dhurendra Prasad Yadav, 34, of Parsa and 52-year-old Dharmanath Prasad Jaiswal alias Munna of Gorakhpur in India.They were caught red-handed while betting in a match of the Indian Premier League.During the raid, police sized mobile phones, laptops, Rs390,500 and 15,750 Indian rupees from their possession.Deputy Superintendent of Police Deepak Giri, who is also the spokesperson of Parsa District Police Office, said police are investigating against them after extending remand from Parsa District Administration Office.","Published at : May 26, 2023",Parsa,Shankar Acharya
