Article Title,Article Content,Date,Location,Author
"Three children dead, one injured in landslide in Arghakhanchi","Three children of the same family died after being buried under a landslide early on Tuesday in ward 1 of the Panini Rural Municipality in Arghakhanchi. The children were aged 12, 11 and 10 years, according to Kamal Prasad Pokharel, ward 1 chairman of the rural municipality.Another 14-year-old, who sustained serious injuries, was rushed to Palpa for treatment, said Pokharel.All four children were buried in a landslide that swept away their house. They were rescued by the locals and police personnel, said Police Inspector Mukunda Rijal.Meanwhile in Panchthar in Koshi Province, floods and landslides have disrupted transportation along the Panchthar section of Tamor corridor and Mechi Highway. The rain-swollen Nawakhola river that flows along the border of Panchthar and Dhankuta districts swept away a tipper truck loaded with diesel barrels. Around 6,000 litres of diesel spilled into the stream, said police. Tipper driver Amrit Shrestha escaped unhurt.According to Police Inspector Diwas Kunwar, the water level in the Nawakhola River increased significantly as it has been raining heavily in the area since Monday evening. “Tamor corridor, Mechi Highway and almost all the rural roads in Panchthar have been disrupted due to the floods and landslides,” said Kunwar.The flooded Hewakhola had swept away a bridge on June 17 disrupting the Mechi Highway. The bridge has yet to be restored. Similarly, the Phidim-Taplejung road section of the Mechi Highway has been blocked again due to the rise in the water level in the Hewa river. The traffic had resumed on Monday after a diversion was constructed over the river.A flood had swept away the bridge over the river on June 18.Two weeks ago, more than 300 people from Yangwarak, Phalelung, Hilihang and Phidim in the district were displaced due to floods and landslides.","Published at : July 5, 2023",Arghakhanchi/panchthar,Birendra KC &
Two jewellery stores sealed in Butwal,,,,
Six people trapped in Rapti river rescued,"Security personnel on Saturday safely rescued six people who were trapped in the middle of Rapti river in Rapti Sonari Rural Municipality of Banke.The villagers from ward 2 of the rural municipality were trapped on the island since 5pm due to a flood in the river.They were rescued at 10pm, according to Chief District Officer Bipin Acharya.The villagers went to the area to graze goats but could not return amid the significant rise of the water level in the river.","Published at : July 2, 2023",Nepalgunj,Rupa Gahatraj
Bus hit kills scooter rider in Butwal,"A scooter rider died after being hit by a bus in Butwal along the East-West Highway early on Tuesday.The bus hit the scooter at Shanti Chowk in Belbas at around 3:30am, police said.The scooter rider died on the spot. The identity of the deceased is yet to be ascertained, according to Highway Safety Traffic Management Office, Butwal.The body has been kept at Lumbini Provincial Hospital.Motorcycle accidents account for 68 percent of those killed or injured in road accidents or crashes that occur in Nepal, according to a new report.Due to the hassles in public transport, two-wheelers especially motorcycles and scooters are very much popular, especially among the youths in Nepal.However, the final report of the Nepal Demographic and Health Survey-2022 carried out by the Ministry of Health and Population between January 5 and June 22 last year with technical and financial support from the USAID, depicted an alarming figure of deaths and injuries in road accidents, involving motorcycles.","Published at : June 27, 2023",Butwal,Amrita Anmol
Artificial ponds provide relief to wildlife in Bardiya National Park,"Bardiya National Park has been replenishing artificial ponds built inside the park for wild animals to ensure the animals have access to water amid drying up of natural water bodies due to the hot summer.Bardiya National Park, one of the country’s major national parks in Tarai covering an area of 968 sq km, initiated the construction of artificial ponds some three decades ago to resolve the drinking water shortage for wildlife. Over the decades, the national park has constructed 180 artificial ponds, out of which 45 have water replenished throughout the year through solar-powered water pumps, according to Aashish Neupane, the information officer at the national park. The rest of the ponds rely on rainwater for replenishment.According to Ashok Bhandari, chief conservation officer at the Bardiya National Park, the park constructs five to six such ponds every year. “The construction of ponds and availability of water throughout the year have boosted the tiger population, their prey animals and other wildlife,” said Bhandari. “The availability of water ensures the wildlife don’t venture out of the forest areas in search of water and reduces human-animal conflict.”The artificial ponds are mainly constructed in grassland areas—Baghaura, Lamital and Lamkoili—far from the natural water sources. “We built artificial ponds this year as well. Most of the ponds were built in the Karnali floodplains and the Babai Valley this year. The national park has plans to build such ponds in Lami Damar, Guthi and Rambahara areas as well,” said Neupane.“Two major rivers—Karnali and Babai—pass through the national park, but they are far from the major habitats of wildlife so the ponds are concentrated in areas where the animals congregate.”Machans (platforms built on trees to observe animals), have also been constructed near the artificial ponds to promote wildlife tourism. “The animals come to the ponds to drink water providing some amazing opportunities for the tourists to watch and photograph them,” said Bhim Chaudhary, a nature guide from Thakurdwara area.The national park in April conducted a study to gauge the effectiveness of the artificial ponds in conservation efforts. Park employees and conservationists closely monitored the movement of wild animals that visited 20 artificial ponds. “They found many species of wildlife visiting the ponds for water. Tigers, spotted deer and elephants were regular visitors,” said Neupane. “Their frequent visits to the ponds indicate that the construction of artificial ponds inside the national park was and is a good call.” The artificial ponds are 50 metres to 100 metres long and about two metres deep. According to the park administration, it costs between Rs1.5 million and Rs1.7 million to build a pond depending on the geography. A pipe is bored around 100 metres underground to lift water. Various organisations working in the conservation sector including the Tarai Arc Landscape Project and National Trust for Nature Conservation provide financial and technical support to build these ponds.Tigers, elephants and rhinos leave the forests when water and prey are scarce, therefore it is imperative to prioritise the management of grasslands and water sources inside the national parks to avoid human-animal conflict, say conservationists.Bardiya is the largest national park in the Tarai and the second major habitat of tigers after the Chitwan National Park. Commending Bardiya National Park’s efforts towards ensuring the abundance of prey and water to the animals, Maheshwar Dhakal, director general of the Department of National Parks and Wildlife Conservation, said, “The population of tigers has increased in Bardiya lately due to the management of grassland and water sources.” As per the latest tiger census, Nepal has a total of 355 tigers and 125 of them are in the Bardiya National Park.","Published at : June 26, 2023",Bardiya,Dipendra Baduwal &
Two dead in lightning strike,"Two people died after they were hit by lightning in Dangisharan Rural Municipality of Dang district on Saturday afternoon.Superintendent of Police Bir Bahadur Oli, who is also Dang District Police chief, said a 37-year-old man from Dangisharan-3 and a 32-year-old man from Dangisharan-6 died after they were struck by the thunderbolt while working in the field.The duo breathed last while receiving treatment at the Tulsipur-based Rapti Provincial Hospital, said Oli.","Published at : June 24, 2023",Dang,Durga Lal KC
Students protest demanding refund of additional charges,"Students at the Lumbini Medical College and Teaching Hospital in Palpa have been staging demonstrations for the past three days demanding refund of the additional charges levied on them by the institute.After the college administration ignored their repeated requests for reimbursement of the amount they were forced to pay as internship and additional charges, the students started a peaceful protest at the college premises.The tenth batch MBBS students of the Lumbini Medical College and Teaching Hospital, affiliated with Kathmandu University, have accused the college of disparity, claiming that they have been asked to pay unnecessary amounts.According to the students, the college has charged Rs200,000 as internship fees, Rs95,000 for ‘miscellaneous college expenses’, a service charge of Rs47,900 and other additional fees on various pretexts.“It is only our batch that has been asked to pay these unnecessary fees,” one of the students told the Post. “We repeatedly asked the administration to return the amount we paid even before the internship period. But our calls were not heard.”Kathmandu University begins internship courses from June 20 onwards for the students who have passed the examinations held in mid-March to early April. However, students at the Palpa-based college have refused to join.The additional fees paid by the students and basic allowance for internships should be made available during this period. The students accuse the college of not abiding by the regulations, instead, threatening them. “We have decided to not start our internships until our demands have been met,” another student said. “We will continue this protest until then.”Krishna Prasad Parajuli, company secretary of the medical college, claims that the students have been charged as per the regulations of the time. However, due to recent changes in the regulations, the newcomers have not been charged the same. “We have invited the students for dialogue, but no agreement has been reached,” Parajuli said. Parajuli added that the amount would be paid back to the students as basic remuneration at the end of the year.The medical students are paid Rs12,000 to Rs15,000 during their internship. Medical students nationwide have been put under similar conditions. By law, the colleges cannot charge the students more than Rs4.5 million, however, students complain that they have been compelled to pay over Rs6 million.","Published at : June 24, 2023",Palpa,Madhav Aryal
"Homeless, daily wage workers among the most affected by Lumbini heat",,,,
Two dead after drinking liquid found at dumping site,"Two women from ward 8 of Madhuwan Municipality of Bardiya died after drinking liquid, mistaking it for homemade liquor.According to Deputy Superintendent of Police Hikmat Bahadur Bohara, information officer at Bardiya District Police Office, two local women aged 70 and 40 died after consuming the liquid.Police said the condition of a couple, a 75-year-old man and his wife, who also drank the liquid is serious and are receiving treatment at the Banke-based Nepalgunj Medical Hospital.“Two women had found the liquid at a dumping site some 4-5 days ago. Investigation suggests they brought it home and drank thinking it as a bootleg,” said DSP Bohara.The 70-year-old woman died on Wednesday and the 40-year-old woman breathed her last yesterday night.Locals performed the funeral rites of the septuagenarian woman on the day of her passing. However, security personnel on Friday took the body of another woman under control and sent it to Bardiya District Hospital for post-mortem.Police Inspector Bakhat Bahadur Shahi said the liquid might be sanitiser, adding that an investigation was underway.","Published at : June 23, 2023",Bardiya,Kamal Panthi
Two drown in river in Banke,"Two people drowned on Monday while swimming in a river near Puraina in Khajura Rural Municipality of Banke district.A nine-year-old Khajura-6 local and 18-year-old Lakshmi Dangi died while swimming in the river bordering Banke and Bardiya, police said.A total of four people had gone for swimming. The family and the police were informed after two vanished in the river.According to Sandeep Belbase, in charge of the Khajura Area Police Office, one body was found within minutes of drowning, while another two hours later.","Published at : June 13, 2023",Banke,Rupa Gahatraj
Eight including four children killed in Pyuthan car accident,"Eight people, including four children, died following a car accident at Swargadwari Municipality in Pyuthan district on Monday.The vehicle was carrying seven pilgrims—two women, one man and four children–who were returning from the Swargadwari temple in the district. Police have so far identified the driver Tara Bahadur Kumal, 49, of Lamahi Municipality-5, Sarita Sharma Pokhrel, 35, and her two sons aged nine and 14, of Tulsipur Sub-Metropolitan City in Dang. Likewise, the police have also established the identities of Govinda Shah, 40, and his wife Radha Shah, 30, and their nine-year-old son, residents of Lamahi Municipality-7.Police said that the process to identify one of the victims, a minor, is underway.According to the District Police Office, the car fell off the road at a bend near Bhingri in the municipality. The passengers were trapped inside the vehicle and the authorities had used an excavator to pull out the bodies. Pramila Khanal, acting medical superintendent at the Pyuthan District Hospital, said that all eight persons were brought to the hospital following the accident, and were declared dead on arrival.“All of them had already died when they were brought to the hospital,” said Khanal, “The authorities are working to establish the identities of one minor victim.Police said that the bodies of the victims have been brought to the District Hospital and the process to identify the deceased is underway.","Published at : June 12, 2023",Pyuthan,Shamsher Bikram GC
Five injured in Bardiya leopard attack,"Five people sustained injuries after they were attacked by a leopard in Thakurbaba Municipality-9 of Bardiya district on Sunday.Police said they were attacked by the leopard while a group of some 20-25 people were filming the leopard that was hiding in a cornfield of one Daliram Chaudhary.Deputy Superintendent of Police Hikmat Bahadur Bohara, who is also information officer of Bardiya District Police Office, said 49-year-old Sita Tharuni, 30-year-old Som Prasad Tharu, 40-year-old Soharam Tharu, 40-year-old Ramdas Chaudhary and 28-year-old Chandra Bogati of Thakurbaba-9 were injured in the leopard attack.They have returned home after medication at a local health facility.DSP Bohara said a team from Bardiya National Park captured the leopard and released it into the wild.","Published at : June 11, 2023",Bardiya,Kamal Panthi
Authorities request public school employees to end protest,"The Nepal Public School Employees’ Council (Nepsec) has issued a notice stating that it will close all community schools in the district from June 17 if the demands of protesting administrative staffers for better pay and perks are not addressed.Meanwhile, the Nepal National Teachers Association (NNTA) and Confederation of Nepalese Professionals, Palpa, have requested Nepsec not to resort to school closure. The two organisations made the request at an event organised by the Education Development and Coordination Unit, Palpa, on Friday. According to Mohan Sapkota, chairman of the NNTA, the demands of the protesters are reasonable but his organisation does not support school closure, which he said will affect the studies of students. “This situation arose after the demands of the administrative staffers of schools were not addressed in the national budget. Nepsec office-bearers said they plan to stage a demonstration at Bhadrakali in Kathmandu for a week from June 10 and will resort to schools closure if their demands are not fulfilled by June 16.","Published at : June 9, 2023",Palpa,Madhav Aryal
Lumbini government unveils policies and programmes,"The Lumbini provincial government on Friday unveiled its policies and programmes for the fiscal year 2023/24.The government has prioritised the promotion of the agricultural sector, marketing of agro products, industry and tourism sectors for employment generation and management of provincial capital through the policies and programmes. It has also given continuity to many previous pledges.Presenting the policies and programmes, provincial head Amik Sherchan said land management, land pooling and physical infrastructure development work has been intensified with the formulation of a master plan to manage the provincial capital in the shape of a modern city.“To manage resources for the development of modern infrastructures in the capital, efforts are being made to continuously coordinate with the central and local level and to attract investment from development partners,” said Sherchan.“It will help in the overall development of the province and the management of a new city.”Sherchan said the government will implement the policies and programmes in a way to focus on making the province self-reliant, prosperous and advanced through sustainable improvement in the standard of living and increase in production while increasing the skill and capacity development, job creation, and income generation of the province residents.The government has pledged to conduct an intensive commercial production sector development programme to promote agriculture.The government also has adopted a policy to encourage the private sector to build charging stations in all 12 district headquarters, highways and commercial areas.","Published at : June 9, 2023",Rupandehi,Ghan Shyam Gautam
"Mahesh Chaudhary, former minister of state for local development, dies",,,,
"Police arrest five people, including two minors, for attempted rape of minors","Police have arrested five people including two minors for allegedly attempting to rape two minor girls in Dang.According to the police, two minors, both aged 16, Dilshan Ahmad, 18, of Gadhwa Rural Municipality-6, Suhail Khan, 20, of Gadhwa-5 and 30-year-old Jadib Ali Nau, a permanent resident of Maithawa in Shivaraj Municipality, who currently lives in Gadhwa Rural Municipality-6, have been arrested on charge of attempting to rape two girls aged 12 and 14.DSP Rajan Kumar Gautam, the spokesperson at the District Police Office, said that the arrests were made after a complaint was filed against the accused persons for attempting to rape the girls on May 28. Gautam said that the girls were taken to a room of one of the boys at Lamahi Municipality-5 where they attempted to commit the crime.Gautam informed that the District Court has extended the custody of the arrestees for five days and investigations into the matter are underway.","Published at : June 6, 2023",Dang,Durga Lal KC
Couple found dead in West Nawalparasi,"A couple was found dead in West Nawalparasi on Tuesday.Fifty-year-old Tilakram Vediyar and his wife, Nirmala Vediyar, were found dead in Majuwa of Pratapur Rural Municipality-8, said Spokesperson at the District Police Office Deputy Superintendent of Police Bhoj Raj Pandey.The bodies were recovered from near the couple’s buffalo shed with wounds from a sharp object, police said.Further investigation into the incident is underway.","Published at : June 6, 2023",Parasi,Nabin Poudel
Girl dies after drowning in a pond in West Nawalparasi,"A girl died after drowning in a pond at Ramgram Municipality of West Nawalparasi district on Sunday.According to the police, an 11-year-old died after drowning in a local fish pond in Naduwa. Police informed that the victim and her sister, daughters of Lekhraj Khatri, a resident of Naduwa and originally from Khotang, drowned while swimming in the pond. Deputy Superintendent of Police Bhojraj Pandey of the District Police Office said that both the girls were taken to Prithvi Chandra Hospital for treatment, but the 11-year-old died while undergoing treatment.The other sister has been referred to Bhairawaha Medical College for further treatment.","Published at : June 5, 2023",West Nawalparasi,Nabin Poudel
Woman murders husband in West Nawalparasi,,,,
"Palpa road mishap death toll reaches five, 10 injured",,,,
"Three dead, 12 hurt in Palpa jeep crash","At least three people died and 12 others were injured in a jeep accident at Rainadebi Chhahara Rural Municipality-8 of Palpa district on Sunday.According to the District Police Office, the jeep heading to Arghakhanchi from Saljhandi swerved off the road and plunged around 70 metres below. Police informed that five of the injured have sustained serious injuries.District Police Office, Palpa, Chief Heramb Sharma informed that a team of police personnel from Saljhani in Rupandehi and Baldhenggadi, Palpa-based police office are conducting rescue operations.Dil Bahadur Gaha, a local, said that the injured had been sent to Lumbini Provincial Hospital in Rupandehi for treatment.","Published at : June 4, 2023",Palpa,Madhab Aryal
Two killed in knife attack in Kapilvastu,,,,
Community schools in Pyuthan Municipality blame downgrades and mergers for low enrolment,"Hari Prasad Thapaliya left no stone unturned to try and convince the Pyuthan-4 locals to admit their children to his school. The principal of Saraswati Basic School went door to door requesting the villagers to admit their children at his school. He even asked the seniors in the village to accompany him as he tried his best to convince the villagers.The Thapadanda-based school recorded no new admissions this academic session and is on the verge of closure due to a lack of students. The new academic session started on April 16 this year. Established in 2012, Saraswati Basic School has been facing a drop in student enrollment numbers for the past several years. Given the low enrollment rate, the Pyuthan Municipality downgraded the school that ran classes up to the fifth grade, to run classes up to the third grade only effective this academic session. Thapathaliya believes this could be one of the reasons why guardians have not sent their wards to his school. “Until last year, we used to run classes up to the fifth grade,” Thapaliya said. “This year, the municipality has allowed us to run classes only till the third grade.”Thapaliya claims that the municipality’s move to downgrade the school is the reason behind the lack of new enrollments this year. “We have been discussing merging with another school for a long time,” he said. “The guardians have failed to understand the reason behind the downgrade and they have been misinformed that the move was the result of poor quality of education at the school.” He shares that such misinformation has discouraged guardians from admitting their children to his school, and are instead opting for a different institute, mostly private schools.The school administration has taken multiple decisions on what the next move should be since there is not a single student enrolled this year. The administration is pulling out all stops to bring its former students back and to encourage new students to join the school. They have also announced that they will reimburse all the expenses guardians had to incur while enrolling their wards in other schools. “We will bear all the expenses if the students who have joined private institutes return to our school,” Thapaliya told the Post. “The admission fees paid to other schools, a year’s worth of books and stationeries and school uniform will be provided by the school.” Thapaliya shares that although the parents verbally agreed to send their children to his school, none have transferred their children from private to government schools yet. “Downgrading community schools and promoting private schools have posed a threat to community schools,” said Thapaliya.Bal Mandir Basic School, located in Ratamata of the Pyuthan Municipality-3, has also been downgraded from this academic session. The school had previously been running classes up to the fifth grade but now it runs classes only up to grade 3. “The educational landscape is the same. The number of schools, both government and private, increased but the number of students did not,” said Lok Bahadur Bista, the principal of the Pyuthan-3-based school. “Now they are harming community schools more by downgrading them.”In the previous academic session, the school had enrolled 45 new students in various grades. The number has plummeted to 14 this year. “We have five students at the child development centre [kindergarten], while we have nine students enrolled from grade 1 to 3,” Bista added.There are five community schools within a 2km radius in the area. Only one of the five schools in Pyuthan Municipality has an adequate number of students—Mukti Secondary School in Ratamata in Ward 3 has more than 600 students enrolled for this academic session. “The number of students in all community schools has been declining,” Bista said. “We cannot tell what the situation will be if this continues.”More than half-a-dozen schools in the Jhimruk Rural Municipality are also facing a decline in student numbers, shares the rural municipality vice-chair Pramod Pokharel. “We have been discussing school mergers,” Pokharel said. “In some schools, the number of teachers is more than that of the students. While in other schools, there is a lack of teachers. This has created a huge problem.”Even schools that were once performing well are on the verge of closure, he further added. “People have migrated from the villages. People are moving out of the villages with the purpose of educating their children in city schools,” said Pokharel. According to him, the women in the village migrate to the cities with their children as soon as their husbands travel abroad for work, causing a considerable decline in the number of students in the rural areas. To witness the closure of community schools is hard, says shares Pyuthan Ward -4 Chairman Resham Bahadur Karki. “Even the schools in urban areas of the municipality are facing such problems. It’s worse in the rural areas,” he said.The municipality’s education department head Basudev Bhattarai says they decided to downgrade some community schools so that the schools can improve the quality of education they can provide. “The local body has already instructed the community schools to improve their teaching standard,” said Bhattarai. “In the first phase, we have limited the number of classes they can run. We may have to merge some schools later.” As per a municipal education department’s report, increasing migration and a slowdown in the number of births, among others, are the main reasons for the problem. Pyuthan Municipality in coordination with the municipality's vice chair formed an education improvement committee and examined the schools. The number of students in privately-owned institutes in urban areas has been increasing while the opposite is true for community schools in rural areas, Bhattarai said.The students have increasingly been attracted towards private institutes due to the inability of the community schools to fulfil demands as per their needs, says Head of Education Development and Coordination Unit’s Pyuthan chapter Shiva Pandit. There are five private schools in Pyuthan Municipality.“There are no other options than to improve the standards of the community schools. Else, more schools will have to close their doors,” Pandit added. The closure of community schools in Thapadanda has become a major challenge for the school authorities while also acting as an example for institutes in other areas. The lack of a concrete academic plan in secondary-level schools also invited trouble, Pandit further says. In 2015, 10 community schools in Pyuthan were merged following a decline in student enrollment numbers. Millions of rupees worth of investments, that went into building the school infrastructure, went down the drain after closures, Pandit said. Currently, there are a total of 397 community schools in the district. “It is justified to merge those schools that face financial crunch or lack enough students,” he added “That responsibility has been handed to the local bodies now. Apart from closure and mergers, there are no other solutions to this problem.”","Published at : May 31, 2023",Pyuthan,Shamsher Bikram GC
East-West Highway obstructed as rain-swollen river washes away diversion,"A rain-swollen river washed away a diversion at Sunwal Municipality-1 of Nawalparasi West district on Thursday, obstructing traffic along the East-West Highway.Hundreds of people travelling along the highway have been stranded after a flood in Somanth river swept away the diversion constructed in the course of the ongoing Narayanghat-Butwal road expansion drive, according to Deputy Superintendent of Police Bhoj Raj Pandey.Authorities are having a hard time repairing the diversion due to continuous rainfall. The repair works will start once the water level in the river recedes.Police said the vehicles from the east have been diverted from Bhumahi to Bhairahawa and from the west to Parasi via Sunwal.The road expansion work along the Butwal- Narayanghat section of the highway has been snail-paced.The delayed road expansion work has caused hardship to travellers and locals. It generally takes two to three hours to cover the road stretch from Butwal to Narayanghat. But now the travel time has more than doubled since the road expansion project began in 2019.The widening work along the 114km section, one of the busiest road stretches along the east-west highway, was initiated with Rs17 billion loan assistance from the Asian Development Bank.","Published at : May 25, 2023",Nawalparasi West,Nabin Paudel
Police disrupt ‘psychic healing’ event in Tulsipur,"Police in Dang on Sunday disrupted an event organised by a self-proclaimed psychic healer Bharat Bhattarai. Bhattarai, who is from Lami in Pathari Shanishchare Municipality-7 of Morang district, became viral on social media for his purported ability to cure serious illnesses. Bhattarai identifies himself as astrologer Simanta KC.According to police, Deputy Superintendent of Police Rajan Kumar Gautam, chief of the District Police Office, the police stepped in to stop the event since the organisers had not obtained permission from the authorities for such an event.On Sunday, more than 300 people had gathered at the Trisiddheshwari Temple in Tulsipur Sub Metropolitan City for the event.“People had gathered in large numbers, lured by Bhattarai’s promise to cure them by simply touching them or looking at them,” said Gautam. “He was spreading misinformation in the name of curing people.” “The organisers had allegedly been deceiving people by telling them that Bhattarai can cure their ailments by simply touching their hands, face, or other body parts,” said Deputy Superintendent of Police Pushparaj Malla, who is also the chief of the Tulsipur Area Police Office. According to Malla, people had come from Salyan, Rolpa and Banke districts to attend the event. Some of the attendees had arrived in Tulsipur on Saturday and had been staying in hotels. “Scores of people bought the lie because they were desperate for a cure,” said Malla. Locals from Bhattarai’s native village Lami, say he has a history of defrauding people under various pretexts. “Bhattarai had previously served more than a year in jail after being charged with duping people under the pretext of sending them abroad on foreign employment,” said Khem Ale Magar, a local man. The locals say that Bhattarai’s father is also a shaman. But he is not in the best of health. Since May 10, when Bhattarai’s video where he claims to be ‘Simanta baba’ went viral on TikTok, his parents have locked up their home and gone elsewhere. After the police disrupted the Tulsipur event on Sunday, Bhattarai left for Nepalgunj, according to Gautam. In March, Bhattarai travelled to Pokhara where he organised a ‘health camp’ on March 6 at a resort in Powerhouse in Pokhara-17. In Pokhara, the local administration had also deployed two policemen for Bhattarai’s safety. Bhattarai’s Pokhara visit was arranged by Bharat KC, a member of the Pokhara Commerce and Industry Committee.The health camp, scheduled to run for three days, was disrupted after Bhattarai and KC were arrested on March 7 by a joint team from the District Administration Office, District Police Office, and District Health Office. The team conducted a search of the camp and confiscated Rs123,000 from Bhattarai.The search was carried out after a police case was filed against Bhattarai for illegally running the camp, said Assistant Chief of the District Office Gurudutta Dhakal. “They were collecting money from the visitors without issuing any receipts or maintaining financial records. They had charged Rs100 per head from 123 people,” Dhakal said. Binod Bhandari in Biratnagar and Deepak Pariyar in Pokhara contributed reporting.","Published at : May 24, 2023",Dang,Durgalal KC
